outcome_variable,did_coef,did_se,did_t,did_p,elig_coef,elig_se,elig_t,elig_p,n,rsquared,panel
outcome_poverty,0.01403496513564056,0.00977133843943353,1.436340090217385,0.15154633038401993,-0.016435863447538397,0.005895008542081019,-2.788098325933267,0.005508816614130176,89253,0.05299680502740589,panel_a
outcome_home_ownership,-0.040625875882907315,0.009710848879838144,-4.183555566110761,3.4058336392998606e-5,0.042031280717454066,0.007198942025859372,5.838535796853648,9.64048165382986e-9,88838,0.11656999445677318,panel_a
outcome_healthcare,0.015425985138054555,0.008538464627419957,1.8066462544701998,0.07169628334158047,-0.033062837426676546,0.00932880938683445,-3.5441647541150774,4.4862101058171987e-4,64804,0.09256321106322074,panel_a
outcome_worked_last_week,0.006343515061488462,0.020430908207347893,0.31048620047184405,0.7563369464300187,0.008784063071018864,0.01076518011120228,0.8159699122802545,0.414954874941563,24818,0.09156014966455517,panel_b
outcome_worked_last_year,0.034868237688985976,0.01692689063888315,2.0599316456200967,0.03998345342241543,-0.009897531795051312,0.009772942060940714,-1.0127484367894233,0.3117282040981357,26345,0.0891904013699234,panel_b
outcome_hours_worked,1.0792269714553455,0.701666187039923,1.5380917470289048,0.12473372250235275,-0.6338206313487503,0.46869068710559764,-1.3523217951329771,0.17695613532092053,26345,0.11818382676491135,panel_b
outcome_labor_force,0.013763700239132533,0.019313588053562206,0.7126433576693146,0.47643829985414854,-0.0010304255902333932,0.011778482742291074,-0.08748372882812931,0.9303261949475009,26345,0.08619407714321414,panel_b
outcome_unemployed,-0.005551296068624169,0.011098525742186338,-0.5001831952800065,0.6171922389602977,0.00100563951839174,0.005381990933304364,0.1868526964935466,0.8518609040124538,26345,0.025257347119225226,panel_b
outcome_self_employed,0.0027055913725691754,0.013119628536502285,0.2062246934081634,0.8367092944527267,-0.008610745109008474,0.005876162650101578,-1.4653687485760156,0.1435233574998952,26345,0.027025395207000202,panel_b
outcome_income,-563.0511846136279,1103.0780293110136,-0.5104364058137498,0.6099977241486068,-113.09528808735188,496.07360038420234,-0.2279808641293572,0.8197653640602649,26345,0.13600061773542305,panel_b
outcome_income_sub90,-47.331769837876315,766.8584474251874,-0.06172165149487236,0.9508120849226493,-20.271675309162564,381.2955098064104,-0.053165261031935064,0.9576239856035759,25684,0.1502074101936789,panel_b
outcome_school_attendance,-0.0015817989656967794,0.013038546707306264,-0.12131712231474422,0.9034943741622503,0.010052519475312681,0.007658184372190945,1.312650490867816,0.18997429469040156,26345,0.17891016714304153,panel_b
outcome_ged,0.02199139139294566,0.01639525982554758,1.3413261898221351,0.18049565877798343,-0.002649293542918477,0.006913364579964969,-0.38321334167681076,0.7017437641063657,26345,0.5867095039027561,panel_b
outcome_log_income,0.3171978273015384,0.16305633277216258,1.9453266359470784,0.052362252417255416,-0.1095087310234224,0.08853765442933814,-1.23686053949872,0.21678828206232847,26345,0.10373454688980954,panel_b
outcome_poverty,-0.01868478656423774,0.01812191709825409,-1.0310601501448144,0.3030751899171824,-0.003138901789681335,0.00925504250554391,-0.33915584804727644,0.7346530403794553,25582,0.06970836010334036,panel_b
outcome_home_ownership,-0.044995301263781054,0.01820941071873965,-2.4709916184973264,0.013849999464197625,0.006183521379724453,0.011916089744073807,0.5189220216136493,0.6040748305326316,25506,0.07786553853603484,panel_b
outcome_healthcare,-0.028157498804424884,0.02820866846470439,-0.9981860306400662,0.31895775529244175,0.00988725993766049,0.014455380954702295,0.6839847368010175,0.49448926399551885,16911,0.09160885966559529,panel_b
outcome_worked_last_week,0.03549179643596856,0.007329465409199731,4.842344489602242,1.7095841206444077e-6,0.016963841324845984,0.005424342722306167,3.127354260837299,0.0018658202333407638,180038,0.14559094719509857,panel_c
outcome_worked_last_year,0.02818139924540494,0.00880086941168803,3.2021153737355217,0.0014502257697581286,0.013627259021093794,0.005014539858178127,2.717549248086907,0.00680266108279956,191700,0.13782261990109623,panel_c
outcome_hours_worked,0.8729363031855149,0.3000950163232872,2.908866377991148,0.0037872491353169117,-0.03552665132214515,0.23546345979994768,-0.1508796793877444,0.8801308784289674,191700,0.1931366631311926,panel_c
outcome_labor_force,0.028936722842582866,0.007043949397410655,4.108025371848918,4.6550776001972946e-5,0.023619321694862343,0.006097982968236403,3.873300699246342,1.2149520426976209e-4,191700,0.12503793098842253,panel_c
outcome_unemployed,-0.0038291364802709345,0.004185848675810847,-0.9147813924566173,0.36074297925399046,0.004646388002562362,0.0027387191772220757,1.6965551054691426,0.09039703924357266,191700,0.016530103722157907,panel_c
outcome_self_employed,-0.0032900194500058433,0.0026523905487335904,-1.24039781832909,0.21540427247782373,0.006835567871153999,0.002434778573637983,2.807470028348603,0.00518636351934268,191700,0.017576235797458595,panel_c
outcome_income,-455.9947581128499,306.4598047260438,-1.4879431203726088,0.13739003491726204,-831.0279754906228,277.2811225623936,-2.9970593302961888,0.0028601252184192573,191700,0.18000946219101732,panel_c
outcome_income_sub90,-163.12593084790404,190.353268125973,-0.8569641722145254,0.39187116229689234,-609.5487623647575,193.24851221691412,-3.1542222776885454,0.0017051190082727887,187273,0.22552141971045203,panel_c
outcome_school_attendance,-0.009697451789291243,0.008305621745849642,-1.1675768637233095,0.24352845643514243,0.025699243086075213,0.0056467327257378385,4.551170443916696,6.690973173131287e-6,191700,0.2531929627373559,panel_c
outcome_ged,0.009124749614700129,0.0050938205160085594,1.7913370889342102,0.07383790348695178,-0.0015779742664719515,0.0035547397437027516,-0.44390711563830937,0.6572998816622215,191700,0.5894700594626778,panel_c
outcome_log_income,0.15504939580054591,0.07424919483161949,2.088229995654002,0.037277446332089806,0.08732745068895136,0.046250544369590994,1.8881388722933126,0.059580274754447465,191700,0.1793646210648553,panel_c
outcome_poverty,0.012167009950309187,0.006078790753908984,2.0015510391577727,0.04586965200856997,-0.017268522100166876,0.004929543269403138,-3.5030673546066113,5.009409944760826e-4,186410,0.05280328859358541,panel_c
outcome_home_ownership,-0.043527383908129,0.012222357424261017,-3.561292015706269,4.0410293993724413e-4,0.04812907544467149,0.007897026463349915,6.094582013627336,2.185269149366885e-9,185587,0.08891333500953191,panel_c
outcome_healthcare,-0.006855152926405203,0.008004761515328801,-0.8563844048667605,0.392364503666912,-0.06915282790332597,0.006965832531621068,-9.927431873994957,1.1851801207964571e-20,131156,0.0955038712631261,panel_c
outcome_worked_last_week,0.028514734982746613,0.008190010082881281,3.481648336715479,5.412066967295168e-4,-0.03736849323391806,0.004413246991141109,-8.467346901029869,2.700604536323945e-16,751111,0.07853744608634938,panel_d
outcome_worked_last_year,0.03817566514129703,0.00819512223474353,4.6583399304832644,4.07442655973481e-6,-0.05991052535570804,0.00417113631773873,-14.363118534612392,1.6174863602652733e-39,800690,0.06468653314644401,panel_d
outcome_hours_worked,0.7728586807668838,0.29578062187146864,2.6129456212406277,0.009242027008255918,-1.6941483410353764,0.18337319866054205,-9.238800181326173,6.757028197433317e-19,800690,0.1525576010947678,panel_d
outcome_labor_force,0.030710968988400818,0.0062074118549162735,4.947467592967545,1.0233368554704448e-6,-0.04408834563758139,0.004102171213339969,-10.747563508370696,2.0231928045182477e-24,800690,0.05929383072287686,panel_d
outcome_unemployed,3.66428537963395e-4,0.002786542190737864,0.1314993683502658,0.8954322461407078,-0.00680897458107265,0.0017487748414230435,-3.8935684685010292,1.119376172869027e-4,800690,0.01926433897740243,panel_d
outcome_self_employed,-0.002209370895410787,0.002105145616411972,-1.04950977176413,0.29444160785353723,0.017723390865247796,0.0017155842719817395,10.330819158638477,7.68340568541493e-23,800690,0.015595915872672284,panel_d
outcome_income,-176.1318799260366,322.10013206073586,-0.5468233707300213,0.5847397230488457,-3872.508642415145,222.4850892527903,-17.405699660237246,1.394306700177945e-53,800690,0.23085324318688816,panel_d
outcome_income_sub90,20.219643364035672,213.07843058631397,0.09489296175309064,0.924437191491465,-3123.5311647365274,158.7921363084716,-19.670565793439017,1.7193208571137965e-64,767111,0.24907120963309648,panel_d
outcome_school_attendance,0.031729742413217285,0.005847856337770961,5.4258758390278405,8.933986249935585e-8,-0.06369606827926567,0.003085615880380214,-20.642902664675475,3.096314967719131e-69,800690,0.3100350782931536,panel_d
outcome_ged,-0.03510904107038754,0.010343394071324513,-3.3943443349724065,7.416147436537853e-4,-0.02654943278254123,0.004404308590240921,-6.028059169461816,3.189184111927858e-9,800690,0.4878279381466547,panel_d
outcome_log_income,0.2622204862245686,0.07412839976135698,3.537382259279038,4.4107449983248997e-4,-0.7749690659626369,0.03867392543188223,-20.038541661037687,2.771860419579831e-66,800690,0.13056233612036916,panel_d
outcome_poverty,0.0035384207361408107,0.009174239313095382,0.3856909129337885,0.6998867349570328,0.06508677334486622,0.005806014011034459,11.210233599362205,3.2209397447754136e-26,759774,0.04718129194731313,panel_d
outcome_home_ownership,-0.01868854201676405,0.021013791615205266,-0.8893464996217675,0.37423700324375586,-0.14564013012288288,0.009989055465677238,-14.579970110618339,1.7326020071267855e-40,755990,0.05390412010354262,panel_d
outcome_healthcare,0.015521350676179284,0.009388117984303345,1.653297359719011,0.0991518752268067,-0.29383944854910304,0.006524926856545196,-45.0333704897168,4.552593453065067e-149,593319,0.11523168651993398,panel_d
